Time Stamp,ID,Extended,Dir,Bus,LEN,D0,D1,D2,D3,D4,D5,D6,D7
1743890401.655,00000231,0,Rx,0,8,00,05,00,00,00,00,0E,0B
1743890401.656,00000012,0,Rx,0,8,99,99,32,00,01,00,0B,38
1743890401.657,00000010,0,Rx,0,8,00,FF,61,30,00,00,07,A9
1743890401.658,00000102,0,Rx,0,8,00,00,18,63,58,CE,0A,E7
1743890401.659,00000012,0,Rx,0,8,99,99,32,00,00,00,0C,3E
1743890401.660,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0D,08
1743890401.661,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0E,0B
1743890401.662,00000342,0,Rx,0,8,04,DF,99,99,85,00,04,A3
1743890401.663,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.664,00000411,0,Rx,0,8,32,60,00,00,00,00,00,00
1743890401.665,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,09,09
1743890401.666,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.667,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,0A,0A
1743890401.668,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.669,00000530,0,Rx,0,8,FF,FE,F5,D6,52,03,91,00
1743890401.670,00000231,0,Rx,0,8,00,06,00,00,00,00,08,0E
1743890401.671,00000517,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.672,00000102,0,Rx,0,8,00,00,18,63,58,CE,04,E9
1743890401.673,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.674,00000300,0,Rx,0,8,02,77,0F,43,00,66,02,00
1743890401.675,00000320,0,Rx,0,8,20,00,00,00,F0,00,82,00
1743890401.676,00000517,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.677,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.678,00000010,0,Rx,0,8,00,FF,61,30,00,00,04,AA
1743890401.679,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.680,00000010,0,Rx,0,8,00,FF,61,30,00,00,05,AB
1743890401.681,00000012,0,Rx,0,8,99,99,32,00,01,00,03,30
1743890401.682,00000517,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.683,00000012,0,Rx,0,8,99,99,32,00,01,00,07,34
1743890401.684,00000010,0,Rx,0,8,00,FF,61,30,00,00,0F,A1
1743890401.685,00000102,0,Rx,0,8,00,00,18,63,58,CE,04,E9
1743890401.686,00000012,0,Rx,0,8,99,99,32,00,00,00,08,3A
1743890401.687,00000102,0,Rx,0,8,00,00,18,63,58,CE,05,E8
1743890401.688,00000122,0,Rx,0,8,2A,23,2D,21,00,00,08,0D
1743890401.689,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.690,00000300,0,Rx,0,8,02,77,0F,43,00,66,02,00
1743890401.691,00000010,0,Rx,0,8,00,FF,61,30,00,00,03,AD
1743890401.692,00000231,0,Rx,0,8,00,05,00,00,00,00,0F,0A
1743890401.693,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.694,00000400,0,Rx,0,8,00,0D,0A,F0,00,01,07,F1
1743890401.695,00000010,0,Rx,0,8,00,FF,61,30,00,00,05,AB
1743890401.696,00000400,0,Rx,0,8,00,0D,0A,F0,00,01,08,FE
1743890401.697,00000408,0,Rx,0,8,00,41,45,0A,FF,FF,08,06
1743890401.698,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.699,00000102,0,Rx,0,8,00,00,18,63,58,CE,0D,E0
1743890401.700,00000122,0,Rx,0,8,2A,23,2D,21,00,00,00,05
1743890401.701,00000122,0,Rx,0,8,2A,23,2D,21,00,00,01,04
1743890401.702,00000300,0,Rx,0,8,02,77,0F,43,00,66,02,00
1743890401.703,00000122,0,Rx,0,8,2A,23,2D,21,00,00,02,07
1743890401.704,00000231,0,Rx,0,8,00,03,00,00,00,00,06,05
1743890401.705,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.706,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,0B,0B
1743890401.707,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0C,09
1743890401.708,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.709,00000231,0,Rx,0,8,00,03,00,00,00,00,01,02
1743890401.710,00000408,0,Rx,0,8,00,41,45,0A,FF,FF,00,0E
1743890401.711,00000411,0,Rx,0,8,32,60,00,00,00,00,00,00
1743890401.712,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.713,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,01,01
1743890401.714,00000231,0,Rx,0,8,00,03,00,00,00,00,05,06
1743890401.715,00000102,0,Rx,0,8,00,00,18,63,58,CE,00,ED
1743890401.716,00000103,0,Rx,0,8,03,00,02,00,00,00,00,01
1743890401.717,00000231,0,Rx,0,8,00,03,00,00,00,00,07,04
1743890401.718,00000231,0,Rx,0,8,00,03,00,00,00,00,08,0B
1743890401.719,00000517,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.720,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.721,00000010,0,Rx,0,8,00,FF,60,30,00,00,0C,A3
1743890401.722,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.723,00000517,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.724,00000010,0,Rx,0,8,00,FF,61,30,00,00,0E,A0
1743890401.725,00000517,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.726,00000010,0,Rx,0,8,00,FF,61,30,00,00,0F,A1
1743890401.727,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.728,00000103,0,Rx,0,8,03,00,02,00,00,00,09,08
1743890401.729,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0B,0E
1743890401.730,00000012,0,Rx,0,8,99,99,32,00,01,00,09,3A
1743890401.731,00000231,0,Rx,0,8,00,03,00,00,00,00,01,02
1743890401.732,00000408,0,Rx,0,8,00,41,45,0A,FF,FF,08,06
1743890401.733,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,01,01
1743890401.734,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.735,00000231,0,Rx,0,8,00,03,00,00,00,00,06,05
1743890401.736,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,02,02
1743890401.737,00000102,0,Rx,0,8,00,00,18,63,58,CE,01,EC
1743890401.738,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.739,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,03,03
1743890401.740,00000102,0,Rx,0,8,00,00,18,63,58,CE,03,EE
1743890401.741,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.742,00000122,0,Rx,0,8,2A,23,2D,21,00,00,06,03
1743890401.743,00000110,0,Rx,0,8,00,00,00,2A,01,01,03,29
1743890401.744,00000102,0,Rx,0,8,00,00,18,63,58,CE,06,EB
1743890401.745,00000122,0,Rx,0,8,2A,23,2D,21,00,00,08,0D
1743890401.746,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.747,00000231,0,Rx,0,8,00,03,00,00,00,00,0D,0E
1743890401.748,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0A,0F
1743890401.749,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.750,00000231,0,Rx,0,8,00,04,00,00,00,00,00,04
1743890401.751,00000408,0,Rx,0,8,00,41,45,0A,FF,FF,07,09
1743890401.752,00000410,0,Rx,0,8,3B,00,00,00,00,FF,07,C3
1743890401.753,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.754,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,08,08
1743890401.755,00000103,0,Rx,0,8,03,00,02,00,00,00,0D,0C
1743890401.756,00000122,0,Rx,0,8,2A,23,2D,21,00,00,00,05
1743890401.757,00000231,0,Rx,0,8,00,04,00,00,00,00,04,00
1743890401.758,00000320,0,Rx,0,8,20,00,00,00,F0,00,82,00
1743890401.759,00000122,0,Rx,0,8,2A,23,2D,21,00,00,02,07
1743890401.760,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.761,00000517,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.762,00000010,0,Rx,0,8,00,FF,60,30,00,00,06,A9
1743890401.763,00000231,0,Rx,0,8,00,04,00,00,00,00,08,0C
1743890401.764,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.765,00000010,0,Rx,0,8,00,FF,61,30,00,00,08,A6
1743890401.766,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.767,00000102,0,Rx,0,8,00,00,18,63,58,CE,05,E8
1743890401.768,00000103,0,Rx,0,8,03,00,02,00,00,00,06,07
1743890401.769,00000231,0,Rx,0,8,00,04,00,00,00,00,0D,09
1743890401.770,00000308,0,Rx,0,8,00,12,00,00,00,00,82,00
1743890401.771,00000010,0,Rx,0,8,00,FF,61,30,00,00,0C,A2
1743890401.772,00000010,0,Rx,0,8,00,FF,61,30,00,00,05,AB
1743890401.773,00000012,0,Rx,0,8,99,99,32,00,01,00,03,30
1743890401.774,00000400,0,Rx,0,8,00,0D,0A,F0,00,01,04,F2
1743890401.775,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.776,00000102,0,Rx,0,8,00,00,18,63,58,CE,05,E8
1743890401.777,00000012,0,Rx,0,8,99,99,32,00,00,00,04,36
1743890401.778,00000010,0,Rx,0,8,00,FF,61,30,00,00,09,A7
1743890401.779,00000102,0,Rx,0,8,00,00,18,63,58,CE,07,EA
1743890401.780,00000012,0,Rx,0,8,99,99,32,00,01,00,05,36
1743890401.781,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0A,0F
1743890401.782,00000308,0,Rx,0,8,00,12,00,00,00,00,82,00
1743890401.783,00000316,0,Rx,0,8,12,91,01,34,5D,00,00,00
1743890401.784,00000411,0,Rx,0,8,32,60,00,00,00,00,00,00
1743890401.785,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.786,00000231,0,Rx,0,8,00,02,00,00,00,00,02,00
1743890401.787,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,08,08
1743890401.788,00000102,0,Rx,0,8,00,00,18,63,58,CE,0D,E0
1743890401.789,00000517,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.790,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,09,09
1743890401.791,00000102,0,Rx,0,8,00,00,18,63,58,CE,0F,E2
1743890401.792,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.793,00000103,0,Rx,0,8,03,00,02,00,00,00,00,01
1743890401.794,00000122,0,Rx,0,8,2A,23,2D,21,00,00,03,06
1743890401.795,00000122,0,Rx,0,8,2A,23,2D,21,00,00,04,01
1743890401.796,00000231,0,Rx,0,8,00,02,00,00,00,00,08,0A
1743890401.797,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.798,00000231,0,Rx,0,8,00,02,00,00,00,00,09,0B
1743890401.799,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0C,09
1743890401.800,00000300,0,Rx,0,8,02,77,0F,43,00,66,02,00
1743890401.801,00000320,0,Rx,0,8,20,00,00,00,F0,00,82,00
1743890401.802,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0E,0B
1743890401.803,00000231,0,Rx,0,8,00,02,00,00,00,00,02,00
1743890401.804,00000231,0,Rx,0,8,00,02,00,00,00,00,03,01
